Sample in Buffer,Sample in Window,TRIGGER,BicubicDDRTest_i/system_ila_0/inst/probe0_1,BicubicDDRTest_i/system_ila_0/inst/probe1_1,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tlast,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(BicubicResizer_0_m_axis)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(BicubicResizer_0_m_axis)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
133,133,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
134,134,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
135,135,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
136,136,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
137,137,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
138,138,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
139,139,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
140,140,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
141,141,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
142,142,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
143,143,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
144,144,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
145,145,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
146,146,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
147,147,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
148,148,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
149,149,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
150,150,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
151,151,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
152,152,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
153,153,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
154,154,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
155,155,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
156,156,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
157,157,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
158,158,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
159,159,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
160,160,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
161,161,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
162,162,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
163,163,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
164,164,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
165,165,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
166,166,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
167,167,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
168,168,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
169,169,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
170,170,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
171,171,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
172,172,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
173,173,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
174,174,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
175,175,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
176,176,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
177,177,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
178,178,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
179,179,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
180,180,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
181,181,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
182,182,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
183,183,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
184,184,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
185,185,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
186,186,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
187,187,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
188,188,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
